hour_of_day,avg_temp
12,24.199482758620686
22,23.96103448275862
1,24.699473684210517
13,24.850606060606054
16,24.949999999999992
6,23.57514285714286
3,26.389454545454544
20,24.922068965517237
5,26.465238095238096
19,24.819761904761908
15,26.45636363636364
9,24.659000000000002
17,23.030487804878053
4,26.533225806451608
8,25.066818181818174
23,26.102708333333336
7,25.12707317073171
10,25.375272727272737
21,25.233823529411765
11,23.497999999999998
14,25.470294117647054
2,24.431999999999995
0,24.65000000000001
18,26.029999999999998
